;Argentina;Aruba;Australia;Austria;Bahamas;Bahrain;Belgium;Bermuda;Brazil;Bulgaria;Canada;CaymanIslands;Chile;HongKong;Macao;Colombia;CostaRica;Cyprus;Czech;Denmark;Egypt;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Indonesia;Ireland;IsleofMan;Israel;Italy;Japan;Kazakhstan;Korea;Lebanon;Luxembourg;Malaysia;Malta;Mauritius;Netherlands;NewZealand;Norway;Panama;Philippines;Poland;Portugal;Romania;Russian;Singapore;Slovak;SouthAfrica;Spain;Sweden;Switzerland;Thailand;Turkey;Ukraine;UnitedKingdom;UnitedStates;Uruguay;Vanuatu;Venezuela
Argentina;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;1
Aruba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Australia;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;0;1;1;0;1;1;1;1;1;0;0;1;1;0;0;0
Austria;0;0;1;0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0;1;0;1;0;1;0;1;0;0;1;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;0;0
Bahamas;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0
Bahrain;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0
Belgium;0;0;1;1;0;1;0;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0
Bermuda;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;0
Brazil;1;0;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;1;1;1;1;0;0;0;1;1;1;0;0
Bulgaria;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
Canada;0;0;1;1;0;1;1;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0
